supplier_id,business_size,location_tier,owner_gender,years_active,on_time_delivery_rate,defect_rate,true_performance_score,ai_trust_score,contract_awarded
SUP-00028,0,1,1,19,99.58,1.22,89.39,88.49,1
SUP-00029,1,0,1,16,76.95,1.25,43.16,40.47,0
SUP-00030,0,0,1,18,99.24,1.98,82.05,69.97,0
SUP-00031,1,0,1,14,94.67,2.93,64.55,55.36,0
SUP-00032,1,1,1,3,90.79,3.41,52.49,56.64,0
SUP-00033,0,1,1,2,88.91,3.87,44.62,45.49,0
SUP-00034,0,0,1,1,94.08,2.79,64.5,52.4,0
SUP-00035,0,0,1,18,74.9,4.15,13.75,0.31,0
SUP-00036,0,0,1,9,85.54,2.47,50.01,37.63,0
SUP-00037,1,1,0,13,93.52,0.56,82.84,80.38,1
SUP-00038,0,0,1,2,87.22,3.04,48.43,36.95,0
SUP-00039,0,0,0,7,94.85,4.79,48.74,32.49,0
SUP-00040,1,0,0,16,75.7,3.57,20.42,8.92,0
SUP-00041,0,0,1,19,91.93,3.1,57.44,44.75,0
SUP-00042,1,0,1,15,88.99,2.91,53.15,49.25,0
SUP-00043,0,0,1,11,82.1,4.69,23.67,13.07,0
SUP-00044,1,1,1,1,81.97,1.93,47.45,46.62,0
SUP-00045,0,0,1,7,88.7,1.99,60.58,50.44,0
SUP-00046,0,1,1,20,97.84,4.9,53.83,51.54,0
SUP-00047,0,0,1,8,85.19,4.39,32.59,20.73,0
SUP-00048,0,0,1,10,94.92,1.95,73.53,61.34,0
SUP-00049,1,1,1,5,84.16,2.09,50.52,47.49,0
SUP-00050,0,1,1,9,73.87,2.37,27.16,27.06,0
SUP-00051,0,1,0,1,71.88,1.17,33.55,27.38,0
SUP-00052,0,0,1,2,71.69,4.81,1.46,0.0,0
SUP-00053,0,0,1,19,82.92,2.32,45.98,33.16,0
SUP-00054,0,1,1,14,81.18,4.44,23.98,24.68,0
SUP-00055,0,0,1,20,92.82,1.35,74.51,60.05,0
SUP-00056,1,0,1,10,94.54,2.47,68.31,64.79,0
SUP-00057,1,1,1,9,74.37,0.11,47.87,47.04,0
SUP-00058,1,1,1,10,79.41,3.44,29.1,27.54,0
SUP-00059,0,0,1,6,78.55,3.11,30.18,23.85,0
SUP-00060,0,0,0,17,87.58,3.32,46.77,29.06,0
SUP-00061,1,0,0,6,76.79,0.23,51.69,42.26,0
SUP-00062,0,1,1,4,74.28,1.45,36.0,37.8,0
SUP-00063,0,1,1,20,99.37,0.83,92.32,90.79,1
SUP-00064,1,0,1,3,95.62,1.3,80.65,77.46,1
SUP-00065,0,1,1,19,77.14,3.32,25.48,26.5,0
SUP-00066,1,1,1,18,85.59,2.55,49.41,49.9,0
SUP-00067,0,1,1,4,80.71,3.25,33.34,37.94,0
SUP-00068,1,0,0,8,95.74,2.47,70.69,60.08,0
SUP-00069,0,0,1,17,86.5,1.73,58.38,49.46,0
SUP-00070,0,0,1,5,74.21,1.6,34.53,23.48,0
SUP-00071,1,0,1,13,94.73,0.62,84.79,82.61,1
SUP-00072,1,1,1,1,83.61,3.82,34.3,34.98,0
SUP-00073,0,0,1,13,78.92,3.27,29.54,21.3,0
SUP-00074,0,1,0,4,81.29,1.34,51.19,45.55,0
SUP-00075,0,0,1,14,85.83,1.3,60.79,49.79,0
SUP-00076,0,0,1,3,80.25,4.43,22.18,12.79,0
SUP-00077,1,0,1,5,79.52,3.34,30.15,25.03,0
SUP-00078,0,1,1,7,82.26,3.47,34.63,36.63,0
SUP-00079,1,0,1,1,72.66,1.83,29.37,25.33,0
SUP-00080,0,1,1,12,93.6,1.68,73.25,70.78,0
SUP-00081,0,0,1,11,76.06,4.91,9.49,0.0,0
SUP-00082,0,0,0,8,72.07,4.09,8.54,0.0,0
SUP-00083,1,0,1,6,91.56,1.36,71.89,69.87,0
SUP-00084,0,0,1,2,92.64,4.31,48.36,32.2,0
SUP-00085,0,0,1,19,95.5,3.92,57.64,46.04,0
SUP-00086,0,1,0,20,86.31,1.84,57.06,53.85,0
SUP-00087,0,0,1,20,77.96,2.42,35.01,20.46,0
SUP-00088,0,1,1,14,92.78,1.34,74.56,73.29,0
SUP-00089,0,0,1,1,90.39,1.0,72.64,61.79,0
SUP-00090,1,0,1,10,80.14,3.25,32.2,29.9,0
SUP-00091,0,0,1,16,97.8,1.7,81.56,72.77,0
SUP-00092,0,0,0,4,73.43,4.19,10.39,0.0,0
SUP-00093,0,0,1,11,99.6,4.98,56.69,43.06,0
SUP-00094,0,1,1,16,96.55,0.84,86.5,89.8,1
SUP-00095,0,0,1,20,91.95,2.63,61.62,48.11,0
SUP-00096,0,1,0,1,97.32,4.11,59.65,55.67,0
SUP-00097,0,0,1,16,92.55,4.05,50.46,42.83,0
SUP-00098,1,1,1,19,79.42,3.42,29.28,30.79,0
SUP-00099,1,1,1,9,85.72,1.57,58.19,59.75,0
SUP-00100,1,0,1,9,74.97,2.04,32.24,30.79,0
SUP-00101,0,1,1,9,82.2,3.18,37.04,38.09,0
SUP-00102,0,0,1,17,93.21,4.88,44.55,34.13,0
SUP-00103,0,1,1,12,82.41,1.97,47.94,47.25,0
SUP-00104,0,1,1,13,80.88,4.65,21.49,23.81,0
SUP-00105,1,0,1,8,90.07,1.21,70.13,66.96,0
SUP-00106,0,1,1,16,96.89,4.95,51.45,48.49,0
SUP-00107,0,1,1,18,73.18,3.52,15.76,16.25,0
SUP-00108,1,0,0,1,83.28,2.09,48.73,35.39,0
SUP-00109,1,1,0,1,76.69,2.76,29.47,25.9,0
SUP-00110,1,0,0,12,93.37,1.23,76.71,67.24,0
SUP-00111,1,1,0,6,75.67,1.23,40.69,39.5,0
SUP-00112,0,1,1,9,90.18,1.01,72.11,73.09,0
SUP-00113,0,0,1,5,78.8,1.01,48.97,38.82,0
SUP-00114,0,1,1,16,77.37,2.06,36.91,34.81,0
SUP-00115,0,1,1,18,98.95,3.93,64.5,65.87,0
SUP-00116,0,1,1,17,72.24,3.24,16.29,15.0,0
SUP-00117,1,1,1,18,86.5,0.46,69.41,71.59,0
SUP-00118,0,0,0,1,70.73,4.34,3.65,0.0,0
SUP-00119,0,1,1,19,85.92,3.21,44.35,44.57,0
SUP-00120,0,0,1,8,85.33,4.82,29.06,14.74,0
SUP-00121,0,0,0,3,79.63,3.52,28.86,12.12,0
SUP-00122,0,0,1,5,74.33,1.29,37.5,29.55,0
SUP-00123,1,0,1,8,83.72,2.13,49.22,46.66,0
SUP-00124,1,1,0,19,93.4,2.92,62.04,56.98,0
SUP-00125,0,0,1,18,94.49,0.63,84.21,67.29,0
SUP-00126,0,1,1,18,87.19,0.57,69.91,68.84,0
SUP-00127,0,0,1,1,87.21,1.08,65.45,54.4,0
SUP-00128,1,0,1,15,79.32,1.13,48.99,43.97,0
SUP-00129,0,1,0,18,80.13,2.43,39.32,37.17,0
SUP-00130,0,0,1,7,75.39,2.69,27.42,15.57,0
SUP-00131,1,0,1,16,80.83,0.62,56.51,54.67,0
SUP-00132,1,1,1,16,80.12,3.03,34.1,34.51,0
SUP-00133,0,1,1,15,86.56,3.18,45.86,45.31,0
SUP-00134,0,0,0,6,86.92,1.83,58.4,40.46,0
SUP-00135,0,0,1,9,98.3,0.56,92.53,78.51,1
SUP-00136,0,0,1,7,76.37,0.85,45.47,35.66,0
SUP-00137,0,0,1,14,90.01,2.26,60.87,48.01,0
SUP-00138,0,0,1,11,94.8,1.19,79.92,68.96,0
SUP-00139,0,0,0,16,87.85,2.2,57.06,39.01,0
SUP-00140,0,1,1,6,78.0,3.33,27.19,25.03,0
SUP-00141,1,1,1,16,81.21,2.46,41.26,42.37,0
SUP-00142,0,0,1,20,73.14,1.54,32.88,19.39,0
SUP-00143,0,0,0,16,80.46,2.05,43.34,25.54,0
SUP-00144,1,1,1,12,94.79,2.76,66.23,63.73,0
SUP-00145,1,1,0,17,75.08,3.87,16.5,10.52,0
SUP-00146,0,0,1,5,76.86,3.89,19.99,8.03,0
SUP-00147,0,0,0,13,91.78,2.99,58.13,40.56,0
SUP-00148,1,0,1,8,95.5,1.63,77.52,75.16,1
SUP-00149,1,0,1,5,85.7,1.64,57.52,53.81,0
SUP-00150,0,1,1,12,91.44,4.46,44.67,50.85,0
SUP-00151,1,1,1,9,84.15,0.18,67.13,67.98,0
SUP-00152,1,1,0,3,76.94,4.45,15.3,6.83,0
SUP-00153,0,1,0,3,81.85,3.49,33.6,28.17,0
SUP-00154,0,0,1,1,86.92,3.57,43.25,31.0,0
SUP-00155,1,0,1,18,100.0,0.17,99.38,94.15,1
SUP-00156,0,0,1,12,73.19,3.22,18.32,6.47,0
SUP-00157,0,0,0,9,85.61,2.68,48.29,30.01,0
SUP-00158,1,1,1,9,82.44,0.48,61.04,61.71,0
SUP-00159,0,0,1,18,86.54,1.75,58.28,42.46,0
SUP-00160,0,0,1,18,72.5,4.51,5.75,0.0,0
SUP-00161,0,0,1,7,79.78,2.97,33.88,18.72,0
SUP-00162,0,1,1,4,94.18,2.36,68.48,67.96,0
SUP-00163,0,0,1,13,87.36,0.83,68.0,54.53,0
SUP-00164,1,0,1,17,86.77,3.21,46.0,42.61,0
SUP-00165,0,1,0,2,78.48,3.66,25.25,19.89,0
SUP-00166,0,1,1,14,80.04,3.26,31.91,32.41,0
SUP-00167,1,0,1,3,83.41,2.3,47.17,45.39,0
SUP-00168,1,0,1,5,96.73,1.95,77.23,74.77,0
SUP-00169,0,1,0,14,99.45,3.17,72.15,67.22,0
SUP-00170,0,0,1,3,83.02,1.55,52.87,41.79,0
SUP-00171,1,1,1,7,84.11,4.24,31.7,35.62,0
SUP-00172,0,0,1,18,96.35,3.15,66.03,55.64,0
SUP-00173,1,1,1,13,85.68,1.4,59.58,58.99,0
SUP-00174,0,0,1,10,87.01,2.52,52.5,43.06,0
SUP-00175,1,1,0,13,80.0,3.63,28.66,24.44,0
SUP-00176,0,1,0,16,93.16,1.23,76.29,69.36,0
SUP-00177,0,1,1,9,86.33,1.82,57.26,56.9,0
SUP-00178,0,1,1,2,93.66,3.56,57.01,54.07,0
SUP-00179,1,0,0,5,95.14,1.42,78.64,65.07,0
SUP-00180,0,1,1,17,77.94,4.07,20.63,18.73,0
SUP-00181,1,0,0,4,93.15,0.59,81.85,73.09,0
SUP-00182,0,1,1,17,94.9,3.93,56.27,56.52,0
SUP-00183,0,1,0,9,80.94,0.81,55.11,47.28,0
SUP-00184,1,1,0,20,79.01,0.1,57.34,47.59,0
SUP-00185,0,1,0,2,70.28,4.54,0.93,0.0,0
SUP-00186,0,1,1,18,84.88,3.12,43.01,43.2,0
SUP-00187,0,0,1,11,81.32,2.08,44.78,35.89,0
SUP-00188,0,0,0,13,87.39,1.55,61.79,47.78,0
SUP-00189,1,0,1,8,78.25,2.78,32.51,29.98,0
SUP-00190,1,0,1,1,97.03,2.29,74.89,71.01,0
SUP-00191,0,0,1,17,79.17,4.96,15.35,2.55,0
SUP-00192,0,1,0,12,77.77,4.92,12.82,9.25,0
SUP-00193,0,0,0,4,84.34,3.36,39.82,22.5,0
SUP-00194,0,0,1,13,85.77,2.49,50.24,37.06,0
SUP-00195,0,0,0,9,77.14,2.71,30.82,9.62,0
SUP-00196,0,0,1,7,78.58,3.57,26.26,14.09,0
SUP-00197,0,1,1,5,75.42,0.96,42.6,44.79,0
SUP-00198,0,0,1,5,91.34,1.98,66.05,56.56,0
SUP-00199,0,0,1,17,94.03,0.84,81.44,69.55,0
SUP-00200,0,0,1,9,84.31,0.83,61.76,47.98,0
SUP-00201,1,0,0,6,93.31,0.88,79.6,72.41,0
SUP-00202,1,1,1,19,95.24,2.18,72.19,72.16,0
SUP-00203,0,1,1,16,75.61,4.03,16.21,15.48,0
SUP-00204,0,0,0,2,98.22,2.68,73.87,53.96,0
SUP-00205,1,0,1,10,96.81,1.51,81.24,81.45,1
SUP-00206,1,1,0,16,79.53,0.37,56.05,52.53,0
SUP-00207,0,1,1,5,75.9,2.98,25.98,27.68,0
SUP-00208,1,1,0,15,77.14,1.22,43.8,37.08,0
SUP-00209,1,1,1,13,77.31,2.77,30.68,30.84,0
SUP-00210,0,0,0,13,93.0,4.9,44.0,26.83,0
SUP-00211,0,0,1,13,84.92,1.0,61.52,51.08,0
SUP-00212,0,1,1,15,94.21,1.45,76.43,79.15,1
SUP-00213,1,1,0,14,95.04,2.13,72.26,64.39,0
SUP-00214,0,1,1,8,88.33,4.86,34.86,32.71,0
SUP-00215,1,1,1,11,93.0,3.47,56.41,57.71,0
SUP-00216,0,0,1,18,72.33,4.54,5.1,0.0,0
SUP-00217,0,0,1,4,79.44,2.0,41.67,31.3,0
SUP-00218,0,0,1,10,89.5,4.96,36.3,23.56,0
SUP-00219,0,1,1,1,70.37,0.96,32.29,29.79,0
SUP-00220,0,0,1,5,71.46,0.74,36.45,20.93,0
SUP-00221,0,0,1,13,96.0,4.35,54.87,43.84,0
SUP-00222,1,0,1,1,91.94,4.17,48.15,45.17,0
SUP-00223,0,0,1,8,78.5,0.91,49.27,39.22,0
SUP-00224,1,1,1,3,92.25,0.51,80.68,81.34,1
SUP-00225,1,1,1,3,95.28,0.15,89.98,82.47,1
SUP-00226,0,1,1,7,79.6,0.97,50.97,51.97,0
SUP-00227,0,1,0,4,71.45,1.44,30.29,22.38,0
SUP-00228,0,1,1,3,97.35,4.87,53.12,49.39,0
SUP-00229,0,0,1,15,81.51,3.51,32.78,16.8,0
SUP-00230,0,0,1,8,73.89,4.0,12.95,0.0,0
SUP-00231,0,0,1,3,84.56,3.99,34.74,23.3,0
SUP-00232,0,1,1,7,92.99,2.91,61.3,59.84,0
SUP-00233,0,0,1,18,78.23,4.09,21.03,5.99,0
SUP-00234,1,0,1,11,80.92,2.68,38.75,34.79,0
SUP-00235,0,0,1,11,78.14,1.92,39.77,25.56,0
SUP-00236,1,0,1,17,100.0,2.52,78.88,76.85,1
SUP-00237,1,0,1,6,78.32,2.4,35.93,34.83,0
SUP-00238,0,0,1,8,87.49,4.21,38.83,26.4,0
SUP-00239,1,1,1,1,98.93,4.42,60.23,62.99,0
SUP-00240,0,1,0,10,75.26,2.35,30.14,27.89,0
SUP-00241,0,1,1,19,100.0,3.94,66.6,66.77,0
SUP-00242,0,1,1,3,97.78,0.95,88.09,91.56,1
SUP-00243,0,1,0,4,96.05,4.0,58.06,51.81,0
SUP-00244,1,0,1,11,79.32,1.67,44.3,36.39,0
SUP-00245,0,0,1,15,89.89,0.68,74.43,59.32,0
SUP-00246,0,0,0,1,92.17,2.13,66.37,48.03,0
SUP-00247,0,1,0,9,99.49,3.25,71.56,67.63,0
SUP-00248,0,0,1,11,76.33,1.04,43.76,29.45,0
SUP-00249,0,0,1,19,94.11,4.66,48.35,35.0,0
SUP-00250,1,1,1,13,83.13,0.35,63.54,61.04,0
SUP-00251,0,0,0,16,76.69,4.69,12.72,0.0,0
SUP-00252,0,1,1,4,82.62,3.68,33.49,36.18,0
SUP-00253,0,1,1,1,93.12,1.98,69.62,70.34,0
SUP-00254,1,0,0,20,87.48,1.76,60.12,49.97,0
SUP-00255,0,1,1,13,86.89,3.83,40.85,43.29,0
SUP-00256,0,0,1,1,98.96,3.21,70.83,58.89,0
SUP-00257,0,0,1,5,82.07,3.52,33.78,22.04,0
SUP-00258,0,0,1,5,88.35,2.25,57.59,47.88,0
SUP-00259,1,1,0,14,83.99,2.2,49.23,43.55,0
SUP-00260,0,1,1,14,82.79,4.95,22.76,24.6,0
SUP-00261,0,1,0,8,90.97,1.46,69.79,66.48,0
SUP-00262,1,0,1,4,99.6,1.88,83.68,79.39,1
SUP-00263,0,0,1,7,86.43,1.81,57.51,42.71,0
SUP-00264,0,1,0,20,94.28,3.94,54.92,49.95,0
SUP-00265,0,0,1,19,74.49,3.94,14.74,5.02,0
SUP-00266,0,0,1,15,77.62,1.82,39.59,29.23,0
SUP-00267,0,1,1,4,84.96,0.87,62.77,66.19,0
SUP-00268,0,0,0,19,72.48,0.55,40.15,22.17,0
SUP-00269,1,0,1,9,80.23,1.92,43.96,41.52,0
SUP-00270,0,1,1,13,86.3,2.35,52.61,50.6,0
SUP-00271,0,1,1,14,71.83,4.95,0.56,0.96,0
SUP-00272,0,0,1,14,79.07,2.61,35.59,25.8,0
SUP-00273,0,0,0,10,85.91,1.65,57.83,42.65,0
SUP-00274,0,0,1,16,88.22,4.51,37.66,25.87,0
SUP-00275,0,0,1,5,97.35,2.71,71.88,59.35,0
SUP-00276,0,1,1,6,89.32,3.2,51.33,49.34,0
SUP-00277,0,1,1,2,82.23,0.93,56.66,56.21,0
SUP-00278,0,0,0,13,98.28,2.22,78.02,58.4,0
SUP-00279,0,1,1,13,94.06,4.75,47.45,46.77,0
SUP-00280,0,1,0,19,77.7,3.15,28.11,19.5,0
SUP-00281,0,0,1,18,75.59,2.05,33.43,18.79,0
SUP-00282,0,0,1,19,91.5,3.32,54.73,44.43,0
SUP-00283,1,0,0,1,88.34,4.1,41.5,33.98,0
SUP-00284,0,0,1,8,93.7,1.73,72.98,60.4,0
SUP-00285,1,1,1,16,95.03,2.27,70.97,71.1,0
SUP-00286,0,0,0,2,88.33,4.81,35.24,18.64,0
SUP-00287,0,1,1,8,99.41,1.28,88.55,89.47,1
SUP-00288,1,0,1,6,88.07,3.24,48.44,45.15,0
SUP-00289,0,0,1,16,74.88,3.27,21.4,6.73,0
SUP-00290,1,0,1,11,97.12,3.06,68.39,59.5,0
SUP-00291,1,0,1,17,81.0,1.58,48.51,42.48,0
SUP-00292,0,0,1,19,94.44,1.91,72.92,60.62,0
SUP-00293,0,1,1,11,98.86,3.58,67.38,69.3,0
SUP-00294,1,0,0,8,93.01,0.97,78.22,69.69,0
SUP-00295,0,0,1,4,87.68,2.39,55.05,44.12,0
SUP-00296,0,1,1,11,84.45,1.35,57.55,55.76,0
SUP-00297,1,0,1,8,83.37,0.1,66.21,62.07,0
SUP-00298,0,0,1,9,81.14,4.87,20.18,8.31,0
SUP-00299,1,1,1,2,90.65,1.94,64.97,63.46,0
SUP-00300,1,0,0,16,95.39,4.36,53.51,42.37,0
SUP-00301,0,0,1,6,90.28,1.13,71.26,58.81,0
SUP-00302,0,0,0,19,77.65,3.14,28.1,12.42,0
SUP-00303,0,0,0,8,85.13,1.4,58.42,39.61,0
SUP-00304,0,0,1,14,94.36,4.06,54.09,41.68,0
SUP-00305,0,0,1,16,85.4,4.03,36.13,26.84,0
SUP-00306,0,0,1,12,86.76,1.01,65.21,52.17,0
SUP-00307,0,1,1,5,92.86,4.6,46.28,46.29,0
SUP-00308,0,0,0,19,91.08,1.38,70.76,53.55,0
SUP-00309,1,0,0,18,85.67,2.76,47.74,38.36,0
SUP-00310,0,1,1,9,96.87,4.94,51.53,54.87,0
SUP-00311,1,0,1,2,76.91,3.97,19.39,16.0,0
SUP-00312,1,0,0,20,100.0,4.3,63.39,51.25,0
SUP-00313,0,1,0,12,74.65,2.04,31.58,29.64,0
SUP-00314,0,0,1,2,70.63,0.98,32.71,21.26,0
SUP-00315,0,0,1,10,96.81,1.35,82.66,69.91,0
SUP-00316,0,0,1,1,77.2,2.75,30.59,21.29,0
SUP-00317,1,1,0,4,93.56,3.57,56.71,50.15,0
SUP-00318,1,1,1,12,96.72,0.68,88.32,91.75,1
SUP-00319,1,1,1,9,97.81,2.97,70.57,70.76,0
SUP-00320,0,0,1,4,99.16,1.96,82.12,72.13,0
SUP-00321,0,1,1,9,79.43,2.04,41.35,47.48,0
SUP-00322,0,0,1,6,91.2,3.48,52.69,41.05,0
SUP-00323,1,1,0,1,75.45,2.1,32.68,27.49,0
SUP-00324,0,1,1,10,82.8,4.15,29.75,27.61,0
SUP-00325,0,0,1,14,95.99,1.2,82.26,70.02,0
SUP-00326,0,0,1,18,82.46,4.05,29.93,15.86,0
SUP-00327,0,1,1,6,87.74,0.79,69.09,68.72,0
SUP-00328,0,0,1,18,86.41,1.37,61.3,55.09,0
SUP-00329,1,1,1,20,92.73,2.95,60.39,60.63,0
SUP-00330,0,0,1,16,99.81,4.35,62.64,49.53,0
SUP-00331,0,0,1,15,73.12,1.64,31.99,19.57,0
SUP-00332,1,1,1,16,90.24,1.47,68.23,67.41,0
SUP-00333,1,1,1,8,97.83,2.42,75.41,77.51,1
SUP-00334,1,1,0,13,87.26,0.95,66.7,61.51,0
SUP-00335,1,0,0,11,75.38,3.65,19.06,13.27,0
SUP-00336,0,0,1,7,86.96,3.98,39.7,27.07,0
SUP-00337,0,1,1,17,81.33,1.15,52.89,52.39,0
SUP-00338,0,0,0,18,76.29,2.59,30.17,11.38,0
SUP-00339,1,1,1,19,98.52,3.49,67.51,66.74,0
SUP-00340,0,1,0,13,86.43,2.02,55.72,47.25,0
SUP-00341,0,0,0,15,98.57,3.35,68.79,47.53,0
SUP-00342,1,0,1,1,95.47,0.23,89.71,86.96,1
SUP-00343,0,0,1,16,91.7,3.24,55.79,40.3,0
SUP-00344,0,0,0,5,70.65,1.19,30.89,14.71,0
SUP-00345,0,1,1,3,82.71,4.24,28.83,27.83,0
SUP-00346,0,0,1,10,76.73,2.1,35.3,25.18,0
SUP-00347,1,1,1,19,100.0,1.27,89.84,86.39,1
SUP-00348,0,0,1,5,75.56,4.28,13.92,3.11,0
SUP-00349,0,1,1,7,79.0,0.73,51.88,52.54,0
SUP-00350,0,0,1,14,86.39,2.28,53.32,42.04,0
SUP-00351,0,1,0,3,77.94,2.17,37.19,34.44,0
SUP-00352,0,1,1,13,77.39,1.78,39.41,39.55,0
SUP-00353,1,0,1,13,90.67,4.1,46.19,37.3,0
SUP-00354,1,1,1,10,75.58,3.38,21.83,22.73,0
SUP-00355,0,0,1,2,71.89,0.79,36.89,25.53,0
SUP-00356,1,1,1,6,83.4,3.22,39.13,38.64,0
SUP-00357,0,1,0,8,91.7,2.87,58.99,52.31,0
SUP-00358,0,1,0,4,86.49,4.55,33.77,28.04,0
SUP-00359,0,1,1,12,83.46,1.91,50.66,53.57,0
SUP-00360,0,0,1,15,87.91,3.08,49.45,35.61,0
SUP-00361,0,1,1,8,81.4,2.75,39.1,35.62,0
SUP-00362,0,0,1,7,97.85,2.7,72.96,58.03,0
SUP-00363,0,0,1,14,72.99,2.55,23.77,11.7,0
SUP-00364,0,0,1,19,91.43,1.43,71.04,62.39,0
SUP-00365,0,0,0,14,97.25,3.9,61.31,48.72,0
SUP-00366,0,0,1,13,94.61,2.53,67.89,57.19,0
SUP-00367,0,0,1,1,75.44,4.81,9.05,0.0,0
SUP-00368,1,1,0,19,82.48,1.17,55.06,48.31,0
SUP-00369,1,1,1,1,92.89,3.07,59.68,61.43,0
SUP-00370,1,0,1,4,74.84,4.23,12.9,11.56,0
SUP-00371,1,0,1,10,96.54,2.99,67.85,62.57,0
SUP-00372,1,0,1,3,93.15,3.92,52.81,51.66,0
SUP-00373,0,0,0,20,93.16,4.22,50.19,32.73,0
SUP-00374,1,0,1,9,75.81,1.62,37.6,35.03,0
SUP-00375,0,0,0,3,91.12,3.2,54.95,40.24,0
SUP-00376,0,0,1,6,90.31,1.2,70.72,55.75,0
SUP-00377,1,1,1,6,96.7,2.41,73.17,74.08,0
SUP-00378,0,0,0,12,72.41,1.54,31.42,17.28,0
SUP-00379,1,1,1,1,72.77,3.35,16.4,15.28,0
SUP-00380,1,1,1,16,84.42,2.38,48.52,46.4,0
SUP-00381,0,0,1,5,74.81,2.35,29.23,18.22,0
SUP-00382,0,1,1,9,87.09,1.71,59.76,60.03,0
SUP-00383,0,1,1,10,97.6,4.99,52.51,51.86,0
SUP-00384,0,1,1,13,82.65,0.82,58.46,58.46,0
SUP-00385,0,0,1,15,96.0,0.7,86.69,71.35,0
SUP-00386,1,0,1,12,73.21,0.98,37.92,34.73,0
SUP-00387,1,0,0,5,77.39,4.37,16.87,11.06,0
SUP-00388,0,0,1,5,71.38,4.91,0.0,0.0,0
SUP-00389,0,0,0,18,81.32,3.45,32.89,14.24,0
SUP-00390,0,1,1,12,97.54,4.46,57.03,57.37,0
SUP-00391,0,0,1,3,73.11,1.46,33.5,27.19,0
SUP-00392,0,0,0,7,88.29,4.87,34.63,19.83,0
SUP-00393,0,0,1,17,84.79,1.14,60.03,47.84,0
SUP-00394,0,1,1,19,99.12,0.96,90.76,90.84,1
SUP-00395,0,0,1,18,75.35,1.0,42.04,32.44,0
SUP-00396,0,0,1,1,76.25,3.08,25.8,11.98,0
SUP-00397,0,1,1,5,71.36,4.01,7.72,8.94,0
SUP-00398,0,0,1,2,82.78,2.15,47.17,32.93,0
SUP-00399,0,1,0,1,78.16,4.9,13.82,10.67,0
SUP-00400,1,1,1,7,97.93,1.95,79.64,79.05,1
SUP-00401,0,0,0,11,88.64,1.18,67.55,50.95,0
SUP-00402,0,1,0,11,88.91,2.6,55.72,50.0,0
SUP-00403,0,0,1,18,87.23,3.56,43.95,33.35,0
SUP-00404,0,0,1,17,74.36,4.25,11.82,0.0,0
SUP-00405,0,1,0,2,83.11,2.56,44.21,43.53,0
SUP-00406,0,0,0,7,99.69,3.17,72.62,58.46,0
SUP-00407,1,1,1,7,96.92,1.2,84.14,81.53,1
SUP-00408,0,1,1,10,96.91,3.41,64.93,65.31,0
SUP-00409,1,1,1,3,96.17,4.44,54.46,55.93,0
SUP-00410,0,1,1,12,74.19,0.72,42.15,41.23,0
SUP-00411,0,1,1,3,76.9,4.49,14.84,17.26,0
SUP-00412,0,0,1,11,71.19,3.03,15.95,6.14,0
SUP-00413,0,0,1,12,80.0,1.63,46.01,33.84,0
SUP-00414,0,1,1,4,73.55,4.8,5.36,7.32,0
SUP-00415,0,0,1,16,85.31,2.68,47.73,30.91,0
SUP-00416,1,0,1,20,93.64,1.49,74.94,73.66,0
SUP-00417,0,0,1,18,97.16,1.32,83.64,73.41,0
SUP-00418,0,0,1,4,92.13,1.6,70.94,56.77,0
SUP-00419,0,1,1,6,97.82,4.25,59.45,59.95,0
